matchID,totalSpeechTime,numSpeechSegs,avgSpeechTime,stdDevSpeech,totalSilenceTime,silenceRatio,avgSilenceTime,firstSilenceDuration,WC,Analytic,Clout,Authentic,Tone,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,CharNames,Tactics,TeamComposition,GameModes,AbilitiesAndUlts,OverwatchLanguage,Weapons,Location,NegAndInsults,Ranks,Positive,rank,matchOutcome,partySize,matchPercentComplete,toxicity
toxic1,32.64298067,14.22222222,2.320780304,1.197518655,86.67146378,0.726037886,8.810804972,8.735876556,89.77777778,26.28444444,55.10222222,60.56222222,43.6,50.76666667,21.56666667,14.34222222,8.216666667,0.475555556,3.631111111,1.033333333,0.984444444,7.224444444,4.368888889,9.343333333,12.23111111,5.322222222,2.823333333,2.817777778,22.35888889,6.251111111,2.184444444,1.826666667,0.62,0.637777778,9.65,4.501111111,5.148888889,0,2.786666667,0.653333333,12.19444444,0,1.21,0.661111111,1.925555556,9.108888889,1.435555556,1.64,1.491111111,2.707777778,0.772222222,1.9,2.111111111,0.506666667,1.14,0.464444444,3.257777778,1.674444444,0.477777778,0.876666667,0.228888889,7.488888889,1.083333333,1.892222222,2.587777778,1.916666667,0.513333333,2.553333333,17.88666667,2.028888889,14.20888889,2.558888889,8.496666667,3.243333333,0.647777778,0.42,0.405555556,0.207777778,3.171111111,0.235555556,6.926666667,2.38,1.161111111,1.404444444,1.235555556,0,3.753333333,2.934444444,0,0,0.998888889,13.91333333,0,2.978888889,1.068888889,0.475555556,0.562222222,3,0,1,0.555555556,36.41666667
toxic2,86.08877582,28.54545455,3.309149518,2.60059645,33.11224516,0.364997082,1.70613438,4.103418523,210.3636364,13.64363636,54.55454545,47.65,40.21727273,48.36545455,21.00090909,15.50090909,7.648181818,2.249090909,3.546363636,1.191818182,0.865454545,5.500909091,3.403636364,7.024545455,10.69636364,5.797272727,3.340909091,3.384545455,22.03909091,3.452727273,1.554545455,2.272727273,1.536363636,1.105454545,9.22,4.870909091,4.291818182,0.258181818,3.095454545,0.472727273,14.21818182,0.665454545,1.844545455,0.647272727,2.108181818,10.28,1.818181818,1.646363636,1.274545455,2.256363636,1.131818182,3.480909091,2.797272727,1.415454545,0.744545455,0.516363636,3.661818182,0.876363636,0.437272727,2.256363636,0.156363636,8.63,4.09,0.75,2,2.642727273,0.337272727,3.834545455,15.95545455,1.215454545,8.997272727,1.889090909,4.604545455,2.636363636,0.401818182,1.325454545,0.090909091,0.116363636,0.66,0.437272727,9.470909091,2.949090909,1.044545455,1.722727273,1.954545455,0,0.97,1.493636364,0,0,0.407272727,6.32,0,1.141818182,0.44,0.202727273,0.392727273,3,0,1,0.545454545,51.875
toxic3,39.76029086,9.428571429,4.219068417,3.368292938,70.63540905,0.646160809,9.909826189,11.938208,81.71428571,34.11285714,73.77285714,40.87571429,39.36571429,53.34428571,20.51857143,14.75714286,3.575714286,1.652857143,7.608571429,0.432857143,1.484285714,5.76,4.097142857,9.931428571,10.77285714,3.867142857,5.828571429,3.085714286,22.02,6.098571429,2.442857143,3.174285714,1.388571429,0.475714286,8.837142857,5.325714286,3.511428571,0,0.991428571,2.112857143,15.02142857,0.102857143,0.414285714,0.172857143,1.842857143,8.71,2.072857143,0.821428571,2.027142857,1.695714286,0.625714286,2.945714286,0.648571429,0.362857143,0.087142857,0.2,0.991428571,0.317142857,0.172857143,0.645714286,0.087142857,10.75714286,3.074285714,1.37,3.212857143,3.692857143,0.425714286,2.73,15.94142857,1.407142857,12.24714286,4.14,5.602857143,2.791428571,0.708571429,1.594285714,0,0.595714286,0.097142857,0.172857143,3.112857143,1.048571429,0.23,1.27,0.172857143,0,0.915714286,0.825714286,0.195714286,0,0.097142857,5.574285714,0,0.488571429,1.19,0.301428571,0.23,3,0,1,0.571428571,54.125
toxic4,59.61764267,10.22222222,5.932428158,4.471338682,54.4659653,0.482173329,12.97170109,18.58814167,105.6666667,11.54111111,46.78444444,48.18444444,39.08888889,55.79,20.08444444,14.21111111,6.921111111,2.083333333,3.312222222,0.964444444,0.928888889,5.872222222,2.561111111,8.941111111,13.21888889,10.41111111,4.21,6.865555556,23.44111111,3.097777778,0.962222222,1.693333333,1.532222222,1.102222222,10.23,6.01,4.221111111,0.733333333,2.447777778,0.601111111,12.21888889,0.447777778,0.554444444,0.556666667,1.413333333,9.884444444,1.465555556,1.876666667,1.053333333,1.953333333,0.815555556,3.628888889,2.492222222,0.868888889,0.976666667,0.562222222,2.698888889,0.136666667,0.604444444,1.561111111,0.171111111,7.735555556,3.516666667,1.376666667,1.724444444,1.825555556,0.457777778,2.623333333,18.51888889,1.295555556,9.108888889,2.496666667,4.888888889,2.206666667,0.248888889,1.268888889,0,0.205555556,1.47,0.343333333,7.445555556,1.796666667,0.594444444,3.284444444,1.494444444,0,1.922222222,2.195555556,0,0,0.217777778,6.454444444,0,1.061111111,0.323333333,0.056666667,0.163333333,6,0,2,0.555555556,59.56944444
toxic6,58.2119432,4.8,14.21936849,10.52599119,57.65936292,0.500812267,13.84492329,21.4769864,161.8,6.522,70.108,53.168,10.322,59.542,25.884,19.982,7.682,2.528,7.138,2.202,0.432,5.902,2.986,8.526,13.72,5.99,5.122,5.258,25.056,4.368,1.526,1.828,0.682,1.178,7.672,2.768,4.904,0.284,3.688,0.12,16.08,0.576,0.674,1.398,1.688,11.122,3.354,0.868,1.286,1.038,0.584,4.682,2.808,1.486,0.59,0.732,3.162,1.288,0.322,1.672,0,6.574,3.446,0.462,0.408,2.214,0.164,3.936,17.546,4.194,10.24,3.134,4.232,3.106,0.524,1.286,0.164,0.322,1.246,0.684,5.576,1.676,0.562,1.372,1.426,0,2.216,0.176,0,0,0.164,6.948,0,0.65,1.64,0.222,0,4,0,1,0.6,51.6625
toxic7,39.407217,17.125,2.413077436,1.921357842,73.43403867,0.642200287,4.416140757,5.3326605,61.125,28.4,71.575,59.09375,41.46875,41.56,17.6125,13.04125,5.5075,3.29625,1.63,1.54125,1.06125,4.57125,1.64,6.54375,9.8575,6.62625,1.59,1.7525,20.67625,1.70875,1.1925,2.4125,1.40625,1.1025,9.71375,5.52375,4.19,0.56875,0.7325,2.66875,11.62125,0,0.79875,0.83375,1.32,5.69,1.40125,0.56875,1.59375,0.595,0.47125,1.05875,1.6375,0.245,0.3175,0.83875,1.57,0.25,0.3625,0.9575,0,11.03,4.92,0.46375,1.55375,1.7375,2.815,2.0025,16.1325,1.695,17.6775,5.55125,8.4375,4.5625,0.21875,3.81,0.25,0,2.87625,0.5675,4.5975,0.5,0.805,1.895,0.95,0,3.84375,2.11625,0,0,0.49,9.495,0,2.2475,0,0,0.105,5,0,2,0.5625,38.2578125
toxic9,51.2918717,16.9,2.712091607,1.893869578,57.80180955,0.572567736,4.715307856,5.55289345,90.2,7.733,28.098,62.277,58.736,47.871,21.033,15.5,9.793,1.355,1.895,1.686,0.769,5.534,2.276,6.649,9.068,6.629,5.078,4.245,18.7,3.699,2.34,1.334,0.858,1.995,8.724,5.551,3.176,0.256,1.203,0.683,10.103,0.717,0.617,0.565,2.301,11.518,2.788,0.962,1.192,2.511,0.841,4.013,2.731,1.018,0.483,1.155,2.043,0.412,1.021,0.387,0.076,8.532,3.116,1.823,2.672,2.097,0.715,3.856,14.085,1.276,8.369,1.45,4.406,2.511,0.663,1.944,0,0.183,1.737,0.596,5.673,0.463,0.599,1.676,1.533,0,2.105,1.248,0.125,0,0.309,5.83,0,0.364,0.506,0,0.354,6,2,1,0.55,14.575
toxic10,14.6338604,3.8,3.261603517,2.101161823,83.11613506,0.878051163,19.25034212,34.04310286,36,16.618,43.77,8.492,6.014,28.75,13.902,9.544,4.228,1.936,3.38,0,0,4.358,1.382,1.382,3.108,3.288,1.36,7.714,18.464,4.684,0.54,1.728,1.104,0,12.936,2.726,10.21,0.27,7.178,2.762,18.452,0.91,0.826,0,0.548,6.984,1.666,0.818,2.214,1.736,0.27,0.818,2.214,0,1.944,0.27,6.622,0,0,6.622,0,13.256,8.486,2.284,3.664,0.548,0.278,3.582,13.702,0.91,5.286,2.014,1.088,2.186,1.466,2.374,0,0,0,0.278,14.162,7.178,2.802,1.9,2.186,0,3.402,0.556,0,0,0,7.006,0,0.826,0.278,0,0,1,0,2,0.6,28.3625
toxic11,13.5017618,4.4,2.027971681,2.281849326,89.41824274,0.887485318,40.04433086,32.09445294,13,17.41,54.474,1.01,5.554,22.602,9.878,7.236,0.488,0.488,1.952,4.31,0,2.642,2.154,0.976,7.44,3.13,0,0.488,16.342,0.976,0,0.976,2.154,0,8.414,0.976,7.44,0,4.106,3.334,11.056,0,0.488,1.666,2.642,1.464,0,0.976,0,0,0,0.488,1.666,0,1.666,0,3.13,1.666,0,1.464,0,4.796,2.154,0,0.488,0,2.154,2.154,9.39,0.488,5.286,0.976,0.976,1.666,0,0.488,0,0,0,0,5.772,3.13,0.488,0,1.666,0,3.094,1.666,0,0,0,5.238,0,0,0,0,0,1,0,2,0.6,4.6375
toxic14,62.61676425,6.25,8.810160288,6.67283086,51.22916023,0.444267055,20.63106697,20.490651,69.375,20.65125,62.39,28.65,47.6775,39.2375,17.3625,11.71,4.32,2.1675,3.255,1.2825,0.68125,5.6525,3.55125,5.04875,10.815,4.09375,2.4975,3.03125,20.325,5.685,0.705,1.1575,1.145,2.415,9.365,5.84875,3.51625,0.3275,1.885,0.965,11.12125,0.11,0.2675,0.875,1.24875,5.58375,0.41375,0.3275,0.9375,1.865,1.02625,1.23125,2.08875,1.28125,0.61125,0.195,3.4325,2.225,0.10875,0.90375,0.195,12.66,3.89625,1.0575,2.0425,4.775,1.1875,2.1625,14.55625,2.48375,10.84625,2.68875,5.51125,3.18125,0.47625,1.25,0.11,0.52375,0.36125,0.4075,6.075,1.32,0.39,3.3675,0.885,0,1.06,1.6175,0,0,1.0725,8.955,0,1.97125,0.10625,0,0.6575,4,0,1,0.5625,35.328125
